FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2
25FEB2021,81 a 90,M,Sputnik,Privado,3,0
25FEB2021,81 a 90,M,Sputnik,Publico,10,4
25FEB2021,91 o mas,F,Covishield,Privado,29,0
25FEB2021,91 o mas,F,Covishield,Publico,456,0
25FEB2021,91 o mas,M,Covishield,Privado,22,0
25FEB2021,91 o mas,M,Covishield,Publico,164,0
25FEB2021,91 o mas,M,Sputnik,Publico,1,1
26FEB2021,30 o menos,F,Covishield,Privado,1,0
26FEB2021,30 o menos,F,Covishield,Publico,21,0
26FEB2021,30 o menos,F,Covishield,Publico nacional,2,0
26FEB2021,30 o menos,F,Sputnik,Privado,107,53
26FEB2021,30 o menos,F,Sputnik,Publico,221,111
26FEB2021,30 o menos,F,Sputnik,Publico nacional,15,10
26FEB2021,30 o menos,M,Covishield,Privado,1,0
26FEB2021,30 o menos,M,Covishield,Publico,4,0
26FEB2021,30 o menos,M,Covishield,Publico nacional,1,0
26FEB2021,30 o menos,M,Sputnik,Privado,58,38
26FEB2021,30 o menos,M,Sputnik,Publico,89,41
26FEB2021,30 o menos,M,Sputnik,Publico nacional,5,4
26FEB2021,31 a 40,F,Covishield,Privado,7,0
26FEB2021,31 a 40,F,Covishield,Publico,22,0
26FEB2021,31 a 40,F,Covishield,Publico nacional,1,0
26FEB2021,31 a 40,F,Sputnik,Privado,246,102
26FEB2021,31 a 40,F,Sputnik,Publico,389,263
26FEB2021,31 a 40,F,Sputnik,Publico nacional,19,31
26FEB2021,31 a 40,M,Covishield,Privado,1,0
26FEB2021,31 a 40,M,Covishield,Publico,6,0
26FEB2021,31 a 40,M,Covishield,Publico nacional,3,0
26FEB2021,31 a 40,M,Sputnik,Privado,119,68
26FEB2021,31 a 40,M,Sputnik,Publico,173,119
26FEB2021,31 a 40,M,Sputnik,Publico nacional,12,7
26FEB2021,41 a 50,F,Covishield,Privado,2,0
26FEB2021,41 a 50,F,Covishield,Publico,15,0
26FEB2021,41 a 50,F,Covishield,Publico nacional,2,0
26FEB2021,41 a 50,F,Sputnik,Privado,221,76
26FEB2021,41 a 50,F,Sputnik,Publico,314,273
26FEB2021,41 a 50,F,Sputnik,Publico nacional,16,17
26FEB2021,41 a 50,M,Covishield,Privado,1,0
26FEB2021,41 a 50,M,Covishield,Publico,7,0
26FEB2021,41 a 50,M,Covishield,Publico nacional,2,0
26FEB2021,41 a 50,M,Sputnik,Privado,79,38
26FEB2021,41 a 50,M,Sputnik,Publico,129,89
26FEB2021,41 a 50,M,Sputnik,Publico nacional,11,6
26FEB2021,51 a 60,F,Covishield,Privado,2,0
26FEB2021,51 a 60,F,Covishield,Publico,11,0
26FEB2021,51 a 60,F,Covishield,Publico nacional,6,0
26FEB2021,51 a 60,F,Sputnik,Privado,112,59
26FEB2021,51 a 60,F,Sputnik,Publico,301,288
26FEB2021,51 a 60,F,Sputnik,Publico nacional,25,24
26FEB2021,51 a 60,M,Covishield,Publico,6,0
26FEB2021,51 a 60,M,Covishield,Publico nacional,3,0
17FEB2021,61 a 70,M,Sputnik,Publico nacional,2,0
17FEB2021,71 a 80,F,Sputnik,Publico,3,0
17FEB2021,71 a 80,M,Sputnik,Privado,8,0
17FEB2021,71 a 80,M,Sputnik,Publico,4,0
17FEB2021,81 a 90,F,Sputnik,Privado,1,0
17FEB2021,91 o mas,M,Sputnik,Publico,1,0
18FEB2021,30 o menos,F,Sputnik,Privado,131,11
18FEB2021,30 o menos,F,Sputnik,Publico,270,17
18FEB2021,30 o menos,F,Sputnik,Publico nacional,27,2
18FEB2021,30 o menos,M,Sputnik,Privado,72,4
18FEB2021,30 o menos,M,Sputnik,Publico,89,11
18FEB2021,30 o menos,M,Sputnik,Publico nacional,12,1
18FEB2021,31 a 40,F,Sputnik,Privado,281,21
18FEB2021,31 a 40,F,Sputnik,Publico,476,38
18FEB2021,31 a 40,F,Sputnik,Publico nacional,26,0
18FEB2021,31 a 40,M,Sputnik,Privado,158,17
18FEB2021,31 a 40,M,Sputnik,Publico,235,18
18FEB2021,31 a 40,M,Sputnik,Publico nacional,23,1
18FEB2021,41 a 50,F,Sputnik,Privado,199,16
18FEB2021,41 a 50,F,Sputnik,Publico,601,36
18FEB2021,41 a 50,F,Sputnik,Publico nacional,33,1
18FEB2021,41 a 50,M,Sputnik,Privado,98,7
18FEB2021,41 a 50,M,Sputnik,Publico,176,24
18FEB2021,41 a 50,M,Sputnik,Publico nacional,16,3
18FEB2021,51 a 60,F,Sputnik,Privado,114,5
18FEB2021,51 a 60,F,Sputnik,Publico,506,12
18FEB2021,51 a 60,F,Sputnik,Publico nacional,30,2
18FEB2021,51 a 60,M,Sputnik,Privado,77,0
18FEB2021,51 a 60,M,Sputnik,Publico,204,10
18FEB2021,51 a 60,M,Sputnik,Publico nacional,12,2
18FEB2021,61 a 70,F,Sputnik,Privado,43,0
18FEB2021,61 a 70,F,Sputnik,Publico,295,0
18FEB2021,61 a 70,F,Sputnik,Publico nacional,12,0
18FEB2021,61 a 70,M,Sputnik,Privado,54,0
18FEB2021,61 a 70,M,Sputnik,Publico,181,0
18FEB2021,61 a 70,M,Sputnik,Publico nacional,7,0
18FEB2021,71 a 80,F,Sputnik,Privado,5,0
18FEB2021,71 a 80,F,Sputnik,Publico,86,0
18FEB2021,71 a 80,M,Sputnik,Privado,14,0
